student_id,axis,axis_ok,meta_ok,case_id,benchmark,condition,model,prompt,K,majority_answer,ground_truth,subject,year,n_distinct_answers,n_unparseable,C,A,R_0,R_1,R_2,R_wilson,majority_is_correct,R_wilson_recomputed
S004,C,True,True,aime_005,aime,a,gpt-4.1-mini,zero_shot,50,_UNPARSEABLE_,580,,1993.0,24,11,0.22,0.02,0.02,0.0,0.0,0.0035,False,0.003539
S004,C,True,True,aime_005,aime,b,gpt-4.1,zero_shot,50,400,580,,1993.0,12,5,0.36,0.04,0.04,0.0,0.0,0.011,False,0.011039
S004,C,True,True,aime_009,aime,a,gpt-4.1-mini,zero_shot,50,130,130,,1983.0,3,0,0.96,0.96,0.96,0.764,0.5681,0.8654,True,0.865399
S004,C,True,True,aime_009,aime,b,gpt-4.1,zero_shot,50,130,130,,1983.0,3,0,0.96,0.96,0.96,0.764,0.5681,0.8654,True,0.865399
S004,C,True,True,aime_012,aime,a,gpt-4.1-mini,zero_shot,50,314,314,,2008.0,18,5,0.36,0.36,0.36,0.0,0.0,0.2414,True,0.241387
S004,C,True,True,aime_012,aime,b,gpt-4.1,zero_shot,50,258,314,,2008.0,16,2,0.46,0.12,0.12,0.0,0.0,0.0562,False,0.056176
S004,C,True,True,aime_019,aime,a,gpt-4.1-mini,zero_shot,50,840,840,,1988.0,12,9,0.52,0.52,0.52,0.0204,0.0,0.3851,True,0.385117
S004,C,True,True,aime_019,aime,b,gpt-4.1,zero_shot,50,840,840,,1988.0,18,3,0.56,0.56,0.56,0.0636,0.0,0.4231,True,0.42306
S004,C,True,True,aime_026,aime,a,gpt-4.1-mini,zero_shot,50,270,276,,1996.0,11,14,0.3,0.0,0.0,0.0,0.0,0.0,False,0.0
S004,C,True,True,aime_026,aime,b,gpt-4.1,zero_shot,50,120,276,,1996.0,10,0,0.38,0.0,0.0,0.0,0.0,0.0,False,0.0
S004,C,True,True,aime_027,aime,a,gpt-4.1-mini,zero_shot,50,613,505,,2003.0,10,6,0.38,0.3,0.3,0.0,0.0,0.191,False,0.191036
S004,C,True,True,aime_027,aime,b,gpt-4.1,zero_shot,50,505,505,,2003.0,35,2,0.14,0.14,0.14,0.0,0.0,0.0695,True,0.069508
S004,C,True,True,aime_032,aime,a,gpt-4.1-mini,zero_shot,50,_UNPARSEABLE_,59,,2017.0,2,49,0.98,0.0,0.0,0.0,0.0,0.0,False,0.0
S004,C,True,True,aime_032,aime,b,gpt-4.1,zero_shot,50,625,59,,2017.0,43,0,0.08,0.0,0.0,0.0,0.0,0.0,False,0.0
S004,C,True,True,aime_033,aime,a,gpt-4.1-mini,zero_shot,50,890,890,,1986.0,2,0,0.98,0.98,0.98,0.84,0.7,0.895,True,0.895046
S004,C,True,True,aime_033,aime,b,gpt-4.1,zero_shot,50,890,890,,1986.0,7,0,0.5,0.5,0.5,0.0,0.0,0.3664,True,0.366445
S004,C,True,True,aime_049,aime,a,gpt-4.1-mini,zero_shot,50,149,247,,2023.0,38,3,0.08,0.0,0.0,0.0,0.0,0.0,False,0.0
S004,C,True,True,aime_049,aime,b,gpt-4.1,zero_shot,50,103,247,,2023.0,30,0,0.12,0.0,0.0,0.0,0.0,0.0,False,0.0
S004,C,True,True,aime_050,aime,a,gpt-4.1-mini,zero_shot,50,20,27,,2006.0,29,5,0.1,0.0,0.0,0.0,0.0,0.0,False,0.0
S004,C,True,True,aime_050,aime,b,gpt-4.1,zero_shot,50,17,27,,2006.0,18,0,0.2,0.0,0.0,0.0,0.0,0.0,False,0.0
S004,C,True,True,aime_076,aime,a,gpt-4.1-mini,zero_shot,50,29,29,,1999.0,1,0,1.0,1.0,1.0,1.0,1.0,0.9286,True,0.928652
S004,C,True,True,aime_076,aime,b,gpt-4.1,zero_shot,50,29,29,,1999.0,2,0,0.98,0.98,0.98,0.84,0.7,0.895,True,0.895046
S004,C,True,True,aime_087,aime,a,gpt-4.1-mini,zero_shot,50,_UNPARSEABLE_,510,,2025.0,21,9,0.18,0.0,0.0,0.0,0.0,0.0,False,0.0
S004,C,True,True,aime_087,aime,b,gpt-4.1,zero_shot,50,_UNPARSEABLE_,510,,2025.0,8,20,0.4,0.0,0.0,0.0,0.0,0.0,False,0.0
S004,C,True,True,aime_096,aime,a,gpt-4.1-mini,zero_shot,50,131,131,,2015.0,4,0,0.94,0.94,0.94,0.7025,0.465,0.8378,True,0.837829
S004,C,True,True,aime_096,aime,b,gpt-4.1,zero_shot,50,131,131,,2015.0,8,0,0.78,0.78,0.78,0.3658,0.0,0.6476,True,0.647585
S004,C,True,True,aime_112,aime,a,gpt-4.1-mini,zero_shot,50,_UNPARSEABLE_,33,,2023.0,34,6,0.12,0.0,0.0,0.0,0.0,0.0,False,0.0
S004,C,True,True,aime_112,aime,b,gpt-4.1,zero_shot,50,81,33,,2023.0,30,0,0.1,0.02,0.02,0.0,0.0,0.0035,False,0.003539
S004,C,True,True,aime_117,aime,a,gpt-4.1-mini,zero_shot,50,33,33,,1986.0,2,0,0.98,0.98,0.98,0.84,0.7,0.895,True,0.895046
S004,C,True,True,aime_117,aime,b,gpt-4.1,zero_shot,50,33,33,,1986.0,4,0,0.94,0.94,0.94,0.7025,0.465,0.8378,True,0.837829
S004,C,True,True,aime_138,aime,a,gpt-4.1-mini,zero_shot,50,21,21,,2022.0,9,0,0.72,0.72,0.72,0.271,0.0,0.5833,True,0.583349
S004,C,True,True,aime_138,aime,b,gpt-4.1,zero_shot,50,7,21,,2022.0,12,0,0.4,0.0,0.0,0.0,0.0,0.0,False,0.0
S004,C,True,True,aime_141,aime,a,gpt-4.1-mini,zero_shot,50,23,23,,1996.0,5,2,0.76,0.76,0.76,0.3329,0.0,0.6259,True,0.625873
S004,C,True,True,aime_141,aime,b,gpt-4.1,zero_shot,50,23,23,,1996.0,5,4,0.76,0.76,0.76,0.3329,0.0,0.6259,True,0.625873
S004,C,True,True,aime_149,aime,a,gpt-4.1-mini,zero_shot,50,8,384,,1985.0,5,7,0.6,0.16,0.16,0.0,0.0,0.0834,False,0.083374
S004,C,True,True,aime_149,aime,b,gpt-4.1,zero_shot,50,8,384,,1985.0,7,7,0.62,0.06,0.06,0.0,0.0,0.0206,False,0.020615
S004,C,True,True,aime_157,aime,a,gpt-4.1-mini,zero_shot,50,_UNPARSEABLE_,32,,1985.0,13,15,0.3,0.16,0.16,0.0,0.0,0.0834,False,0.083374
S004,C,True,True,aime_157,aime,b,gpt-4.1,zero_shot,50,_UNPARSEABLE_,32,,1985.0,8,20,0.4,0.0,0.0,0.0,0.0,0.0,False,0.0
S004,C,True,True,aime_160,aime,a,gpt-4.1-mini,zero_shot,50,_UNPARSEABLE_,504,,2016.0,14,18,0.36,0.0,0.0,0.0,0.0,0.0,False,0.0
S004,C,True,True,aime_160,aime,b,gpt-4.1,zero_shot,50,63,504,,2016.0,7,0,0.28,0.02,0.02,0.0,0.0,0.0035,False,0.003539
S004,C,True,True,aime_161,aime,a,gpt-4.1-mini,zero_shot,50,32,113,,2013.0,9,4,0.38,0.0,0.0,0.0,0.0,0.0,False,0.0
S004,C,True,True,aime_161,aime,b,gpt-4.1,zero_shot,50,95,113,,2013.0,17,0,0.26,0.0,0.0,0.0,0.0,0.0,False,0.0
S004,C,True,True,aime_167,aime,a,gpt-4.1-mini,zero_shot,50,_UNPARSEABLE_,501,,2010.0,23,21,0.42,0.04,0.04,0.0,0.0,0.011,False,0.011039
S004,C,True,True,aime_167,aime,b,gpt-4.1,zero_shot,50,502,501,,2010.0,15,1,0.26,0.08,0.08,0.0,0.0,0.0315,False,0.03155
